id,source,text,favorite_count,retweet_count,created_y,created_m,created_d,created_h,created_min
1245612344664711169,Twitter for Android,"Great resource! Mini-crash course on deep learning for computer vision problems using Python (step by step tutorials w/ Py code)
https://t.co/3BwsGUlzaJ #DeepLearning #DataScience #ComputerVision #MachineLearning #AI https://t.co/Ajlo8480jD",84,52,2020,4,2,7,21
1245417234710790144,Twitter for Android,"Models of SEIRS epidemic dynamics with extensions, including network-structured populations, testing, contact tracing, and social distancing (w/ Py code). #DataScience #MachineLearning #AI #DeepLearning #Statistics #epidemiology #github
https://t.co/sB5WtaPoOV https://t.co/AOuu1NNEBW",22,21,2020,4,1,18,26
1242429724145659905,Twitter for Android,@Shweta_go Thanks I reposted it.,0,0,2020,3,24,12,35
1242429621913690112,Twitter for Android,"Really useful! #PyTorch Tutorial: How to Develop Deep Learning Models with Python (w/ Py code)
https://t.co/3jA7Fgd3rO #DataScience #MachineLearning #DeepLearning #AI https://t.co/YwyxwxFCk9",21,13,2020,3,24,12,34
1242193676505415688,Twitter for Android,Great tutorial! how to use #TensorFlow ’s GradientTape function to create custom training loops to train #keras models. #DeepLearning #AI #MachineLearning #DataScience https://t.co/yuNTwEh8Se @PyImageSearch https://t.co/r8nIADJcgC,30,19,2020,3,23,20,57
1240983182654177281,Twitter Web App,"Fully-funded PhD studentship: ideal candidate will have experience in #AI #DataScience #DeepLearning #MachineLearning and be a competent programmer.  Those w/ experience in combinatorial #featureselection most welcome to apply. Deadline: 17th April 2020. 
https://t.co/o5x8ujYzOV",25,20,2020,3,20,12,47
1239290068482822144,Twitter for Android,@PyImageSearch Looking forward to tomorrow! Your tutorials have been really useful to me and my students! Thanks Adrian @PyImageSearch,3,0,2020,3,15,20,39
1236746121000767488,Twitter for Android,"Must read! Step-By-Step Framework for Imbalanced Classification Projects #DataScience
#MachineLearning #AI #DataAnalytics #datamining 
https://t.co/L3Q7SYBG0V https://t.co/nu6WVxqDj8",56,32,2020,3,8,20,10
1235317838849732609,Twitter for Android,Teaching Students With Real World Examples - A great talk from @softcat Adam Loucas industry expert in IT Infrastructure &amp; Cybersecurity #CyberSecurity #ITinfrastructure @ChrisAtkinson9 https://t.co/GsF3bIRCXg,9,5,2020,3,4,21,34
1234909029979344897,Twitter for Android,"Great tutorial w/ experiments on various sampling methods! Predictive Model for the Phoneme Imbalanced Classification Dataset (w/ Py code) https://t.co/ZXNEtz4WUr 
#DataScience #MachineLearning #AI #DeepLearning #datamining https://t.co/VTdKiVyY6n",16,3,2020,3,3,18,30
1234907014209441793,Twitter for Android,Great tutorial! How to Develop a 1D Generative Adversarial Network (GAN) from Scratch in Keras (w/ Py code) https://t.co/DXH1T2pkdL #DataScience #DeepLearning #MachineLearning #AI https://t.co/Nzz8VlBbhe,22,10,2020,3,3,18,22
1233717963380985856,Twitter for Android,"**Fully-Funded PhD** Portable hybrid gamma-optical camera for quantitative 3D precision imaging in cancer diagnosis
https://t.co/heGxGaF3oO #DataScience #DeepLearning #AI #MachineLearning #MedicalImaging https://t.co/q0etffN2vb",8,6,2020,2,29,11,37
1233710531208458241,Twitter for Android,"Nice! Large-scale facial expression dataset consisting of face image triplets along with human annotations
https://t.co/vzdq5fp3Qc #DataScience #MachineLearning #AI #DeepLearning https://t.co/ddnKdByi9N",46,24,2020,2,29,11,8
1232267602623389698,Twitter for Android,"Self-funded opportunity! AI for energy reconstruction in detectors for nuclear medicine 
https://t.co/iUZjEJI3rU #DeepLearning #AI #Physics #medicalphysics",4,1,2020,2,25,11,34
1231310837211594758,Twitter for Android,"Nice! How to Control the Stability of Training Neural Networks With the Batch Size (w/ Py code) #AI #DeepLearning
#DataScience 
https://t.co/fRq03CFFMW https://t.co/XSiQnkA8RC",34,20,2020,2,22,20,12
1231307031744843776,Twitter for Android,"""Google launches TensorFlow library for optimizing fairness constraints!"" Using labels. Interesting, since this library is released a day after the announcement that Google removed gendered labels from Google Vision API! #DataScience #AI https://t.co/FT7ZXpiPLY via @VentureBeat https://t.co/dmm4Hs8CBg",8,4,2020,2,22,19,57
1231203290924359680,Twitter for Android,"""Google Cloud AI removes gender labels from Cloud Vision API to avoid bias""or will it create more bias?!Labels are needed to create balanced datasets for training fair #AI models to ensure certain groups are not disadvantaged. Better solutions are needed.. https://t.co/boc2UR8syB",7,4,2020,2,22,13,5
1230601533651378176,Twitter for Android,Powerful antibiotic discovered using machine learning for first time https://t.co/E5ihf4ZEft #DataScience #MachineLearning #AI #bioinformatics,40,39,2020,2,20,21,14
1230575834093826049,Twitter for Android,Useful! 17 Best Robotics Datasets for Machine Learning https://t.co/B4YbJtWbY7 #DataScience #AI #Robotics #DeepLearning https://t.co/alNmgHQ2pq,7,1,2020,2,20,19,31
1230396925607841792,Twitter for Android,Nice! fastai—A Layered API for Deep Learning (w/ Py code in Github) https://t.co/kabP00iCYr #DeepLearning #AI #DataScience #MachineLearning #NLP https://t.co/bLmKKPYlKk,14,10,2020,2,20,7,41
1230390258996563970,Twitter for Android,"Quick guide on How to Fix k-Fold Cross-Validation for Imbalanced Classification (w/ Py code) #DataScience #MachineLearning #AI #DataMining
https://t.co/ntiria8TFR https://t.co/zcfvHEKXxE",19,16,2020,2,20,7,14
1230250760547577859,Twitter for Android,Nice tutorial! how to use 1×1 filters to control the number of feature maps in a convolutional neural network(w/ Py code). https://t.co/QifIiVfVDU #DataScience #AI #MachineLearning #DeepLearning https://t.co/9ttyhZNJwQ,12,6,2020,2,19,22,0
1230230522586112000,Twitter for Android,Interesting article! Why algorithms can be racist and sexist https://t.co/60GLr9KiHM #DeepLearning #MachineLearning #AI #DataScience https://t.co/xjuRioIfd7,17,22,2020,2,19,20,39
1230226400248029184,Twitter for Android,"Really useful tutorial! how to implement and train autoencoders using #Keras, #TensorFlow, and #DeepLearning. @PyImageSearch #DataScience #AI https://t.co/tNLrBPCLLj https://t.co/8nk5gNIsVe",71,27,2020,2,19,20,23
1226908535960809472,Twitter for Android,@PyImageSearch Great work Adrian. Thank you 🙂,3,0,2020,2,10,16,39
1226901632182636545,Twitter for Android,"Fantastic step by step tutorial! #OpenCV ‘dnn’ with #NVIDIA GPUs: 1549% faster YOLO, SSD, and Mask R-CNN (w/ Py code)
https://t.co/RNuWMMNxDk #DataScience #MachineLearning #AI #DeepLearning #YOLO @PyImageSearch https://t.co/cJNKwsFa1u",31,7,2020,2,10,16,11
1226439161789526016,Twitter for Android,"PyTorch3D! provides reusable components for 3D Computer Vision research with #PyTorch.
https://t.co/0448leTHpn #DataScience #MachineLearning #DeepLearning #AI https://t.co/JKwAhKTxBc",8,10,2020,2,9,9,34
1225855091703414787,Twitter for Android,"Very useful step-by-step guide! How to use #OpenCV’s “dnn"" module with #NVIDIA GPUs, #CUDA, and #cuDNN 
https://t.co/ydaV9Ypt5K #DataScience #MachineLearning #AI #DeepLearning @PyImageSearch https://t.co/Tvd3koK5pC",60,24,2020,2,7,18,53
1225852980840292352,Twitter for Android,"CausalNex is a Python library that uses Bayesian Networks to combine machine learning and domain expertise for causal reasoning
https://t.co/7DhWphVEbR #DataScience #MachineLearning #AI #DataMining #bioinformatics https://t.co/BvE1BtkV8L",56,32,2020,2,7,18,45
1225179046562160643,Twitter for Android,"Great resource! 50+ free Datasets for Data Science Projects
https://t.co/In3LYTIZCj #DataScience #AI #MachineLearning #DeepLearning https://t.co/Rd84K97TP7",46,28,2020,2,5,22,7
