id,source,text,favorite_count,retweet_count,created_y,created_m,created_d,created_h,created_min
1253541647696179200,Twitter for iPhone,Important news! https://t.co/4dmVvJ4IM6,19190,4642,2020,4,24,4,29
1253538626992046080,Twitter for iPhone,Disgraceful. Should join the Republican Party! https://t.co/HMpXOEdgSA,22037,6451,2020,4,24,4,17
1253472446377873409,Twitter for iPhone,"Governor @JimJusticeWV is a tremendous fighter for the incredible people of West Virginia. Big Jim is strong on Life, the Second Amendment, and Building the Wall! With Governors like Jim, America will recover and get back to business. Jim has my Complete and Total Endorsement!",43752,10453,2020,4,23,23,54
1253467642431705091,Twitter for iPhone,"Congressman @SteveStivers is doing a terrific job for the People of Ohio! He defends our Borders, Supports our Veterans, Strong on Crime, and the Second Amendment. Steve has my Complete and Total Endorsement!
https://t.co/iX0VBJ44sT",20573,5717,2020,4,23,23,35
1253467417482801154,Twitter for iPhone,"Congressman Bill Posey is a tremendous fighter for the Great State of Florida. He is a big supporter of our #MAGA Agenda – Strong on Crime, the Second Amendment, and Loves our Veterans and Law Enforcement. Bill has my Complete and Total Endorsement!",45819,10726,2020,4,23,23,34
1253466787829735425,Twitter for iPhone,"Congressman @MikeTurnerOH is a strong supporter and fighter for the People of Ohio! He will help us #MAGA! He’s Strong on the Border, Tough on Crime, will Protect our Vets, and our GREAT Second Amendment. Mike has my Complete and Total Endorsement! https://t.co/tIKPOJmZR7",18847,5426,2020,4,23,23,32
1253465846376280066,Twitter for iPhone,"Congressman @Troy_Balderson is doing a GREAT job for the People of Ohio! He will always Protect your #2A, Defend our Borders, and Support Small Business – a great supporter of the #MAGA Agenda. Troy has my Complete and Total Endorsement! https://t.co/ybcfR5rOOd",17376,4971,2020,4,23,23,28
1253465581413597184,Twitter for iPhone,"Congressman @DaveJoyceOH14 is a tremendous fighter for the Great State of Ohio! He is Tough on Crime, our Border, Second Amendment, and helps us Combat Illegal Drugs! David has my Complete and Total Endorsement! https://t.co/ODAEpPur3W",17617,4957,2020,4,23,23,27
1253465418263605249,Twitter for iPhone,"Congressman @BradWenstrup is doing a tremendous job for the People of Ohio! He’s a proud Veteran and is Strong on the Border, Tough on Crime, the Second Amendment, and Supports Small Business. Brad has my Complete and Total Endorsement!
https://t.co/ZyXELSEZeA",17447,4940,2020,4,23,23,26
1253464153530011650,Twitter for iPhone,....My co-chair in Utah and a really great guy. Sean has my Complete and Total Endorsement!,19979,4287,2020,4,23,23,21
1253464152233906178,Twitter for iPhone,"Utah Attorney General Sean Reyes (@SeanReyesUT) is a fighter and hard worker for the Great State of Utah. He is a big supporter of our #MAGA Agenda – Strong on Crime, the Second Amendment, and Loves our Law Enforcement....",29104,6770,2020,4,23,23,21
1253463853645606918,Twitter for iPhone,"Congressman John Curtis (@CurtisUT) gets things done for Utah! John fights for Small Businesses, will Lower your Taxes, and will protect your Second Amendment. He has my Complete and Total Endorsement!",26478,6555,2020,4,23,23,20
1253463521876217856,Twitter for iPhone,"....He’s 100% pro-life, strong on #2A and Loves our Military and Vets. Chris has my Complete and Total Endorsement! https://t.co/7w8Ayt5Bsq",15636,4117,2020,4,23,23,19
1253463520940822538,Twitter for iPhone,"Congressman Chris Stewart (@StewartforUtah) is a tremendous fighter for Utah. He served our Country in the U.S. Air Force, and has been a strong supporter of our #MAGA Agenda....",22138,5590,2020,4,23,23,19
1253463098050129923,Twitter for iPhone,"Congressman Warren Davidson (@Vote_Davidson) is working very hard for the people of Ohio! He’s a strong supporter of our Military, Vets, Second Amendment, and #MAGA Agenda. Warren has my Complete and Total Endorsement! https://t.co/HxdSylWL2c",17033,4733,2020,4,23,23,17
1253462557010124807,Twitter for iPhone,....Bill has my Complete and Total Endorsement! https://t.co/Dmso0XmeYl,12989,3471,2020,4,23,23,15
1253462554803920902,Twitter for iPhone,"Congressman Bill Johnson (@JohnsonLeads) is an incredible fighter for the Great State of Ohio! He’s a proud Veteran and a hard worker who Cares for our Veterans, Supports Small Business, and is Strong on the Border and Second Amendment....",28336,6901,2020,4,23,23,15
1253426762928668678,Twitter for iPhone,I will be having a White House Press Conference today at 5:45 P.M. Thank you!,79031,11788,2020,4,23,20,53
1253341575280656385,Twitter for iPhone,https://t.co/iPon70Z1yW,32916,8514,2020,4,23,15,14
1253341461401096193,Twitter for iPhone,https://t.co/cT7EDnDUYo,42632,10696,2020,4,23,15,14
1253341318329315328,Twitter for iPhone,https://t.co/R3mSfNIeC6,80758,18177,2020,4,23,15,13
1253297383414390788,Twitter for iPhone,Fully signed and ready to go! https://t.co/MdpgII3kuq,82801,18458,2020,4,23,12,19
1253296736589807619,Twitter for iPhone,Please study this closely. We saved many lives with our fast action on CoronaVirus! https://t.co/IKtkciXEEO,77686,23996,2020,4,23,12,16
1253296096165670914,Twitter for iPhone,"We did it once, we will quickly do it a second time! https://t.co/iSHk0JIMSV",119815,23650,2020,4,23,12,14
1253295683836219393,Twitter for iPhone,Thank you to Harvard and all others! https://t.co/UH15FJ5SqV,42226,8250,2020,4,23,12,12
1253295028509835264,Twitter for iPhone,.@foxandfriends  We now have many Ventilators to spare. Thank you to all! https://t.co/brNmQKZ1FL,35228,7689,2020,4,23,12,9
1253064464053739525,Twitter for iPhone,I will be having a White House Press Conference today at 5:45 P.M. Thank you!,119004,15730,2020,4,22,20,53
1252964659960971265,Twitter for iPhone,CDC Director was totally misquoted by Fake News @CNN on Covid 19. He will be putting out a statement.,114506,26074,2020,4,22,14,17
1252964030253318147,Twitter for iPhone,"Another FALSE ad by the Do Nothing Democrats. Almost all of their ads are False or Misleading, and the Fake News loves it! https://t.co/6osAQzyIEF",55800,16374,2020,4,22,14,14
1252960830255173634,Twitter for iPhone,Sleepy Joe thought this was OK. Not me! https://t.co/VgIlA4fJKF,87421,25011,2020,4,22,14,1
1252932181447630848,Twitter for iPhone,I have instructed the United States Navy to shoot down and destroy any and all Iranian gunboats if they harass our ships at sea.,437045,87680,2020,4,22,12,8
1252928613743235072,Twitter for iPhone,"States are safely coming back. Our Country is starting to OPEN FOR BUSINESS again. Special care is, and always will be, given to our beloved seniors (except me!). Their lives will be better than ever...WE LOVE YOU ALL!",262147,45127,2020,4,22,11,53
1252915913835364353,Twitter for iPhone,"Happy Birthday to the great Cindy Adams of the New York Post. Cindy is 90, but looks 39 to me. She is going strong!",95369,13053,2020,4,22,11,3
